Name of Site,Address,County,Eligibility,,Code:
Amesbury: Stop and Shop,"100 Macy Street, Amesbury, MA 01913",Essex,A,,a - all eligible statewide
"
Arlington: Family Practice Group, PC
"," 11 Water St # 1A, Arlington, MA 02476",Middlesex,S,,s - select towns
Beverly: Pediatric Associates of Greater Salem,"30 Tozer Rd, Beverly, MA 01915",Essex,A,,
"
Boston Medical Center

","85 E Concord St, Boston, MA 02118",Suffolk,A,,
Boston: CVS ,"874 Harrison Ave, Boston, MA 02118",Suffolk,A,,
Boston: East Boston Neighborhood Health Center ,"120 Liverpool Street, Boston, MA 02128",Suffolk,A,,
Boston: Fenway Park,"
4 Jersey St, Boston, MA 02215
",Suffolk,A,,
Boston: Reggie Lewis Center (Roxbury Community College),"1350 Tremont St, Roxbury, MA 02120",Suffolk,A,,
Boston: South Boston Community Health Center,"409 W Broadway, South Boston, MA 02127",Suffolk,A,,
Haverhill: Whittier Rehabilitation Hospital,"145 Ward Hill Avenue, Bradford, MA 10845",Essex,A,,
Braintree: CVS,"178 Washington St., Braintree, MA 02184",Norfolk,A,,
Burlington: Wegmans,"53 Third Avenue, Burlington, MA 01803",Middlesex,A,,
Cambridge: CVS (Mass Ave),"624 Massachusetts Ave., Cambridge, MA 02139",Middlesex,A,,
Cambridge: CVS (Alewife Brook Pkwy),"215 Alewife Brook Parkway, Cambridge, MA 02138",Middlesex,A,,
Canton: Health Department,"79 Pleasant Street, Canton, MA 02021",Norfolk,S,,
Chelsea: CVS,"1010 Revere Beach Pkwy, Chelsea, MA 02150",Suffolk,A,,
Chelsea: Walgreens,"1010 Broadway, Chelsea, MA 02150",Suffolk,A,,
Chestnut Hill: Wegmans,"200 Boylston St, Chestnut Hill, MA 02467",Suffolk,A,,
Danvers: Doubletree Hotel,"50 Ferncroft Rd, Danvers, MA 01923",Essex,A,,
Danvers: Walgreens,"107 High St, Danvers, MA 01923",Essex,A,,
Dedham: CVS,"270 Bussey St, Della Park Plaza, Dedham, MA 02026",Norfolk,A,,
